residue,residue_ID,name,anomer,absolute,ring,parent_id,site,shape,color,pubChem,comment
N-glycan_b-D-Galp_44,N44,Gal,b,D,p,N2,3,circle,#FFD400,Gal
N-glycan_a-D-Neup5Gc_142,N142,Neu5Gc,a,D,p,N63,6,diamond,#8FCCE9,Neu5Gc
N-glycan_a-D-Neup5Ac_69,N69,Neu5Ac,a,D,p,N29,6,diamond,#A54399,Neu5Ac
N-glycan_b-D-GlcpNAc_11,N11,GlcNAc,b,D,p,NC,4,square,#0090BC,GlcNAc
N-glycan_b-D-Galp_111,N111,Gal,b,D,p,N110,4,circle,#FFD400,Gal
N-glycan_a-D-Galp_114,N114,Gal,a,D,p,N44,3,circle,#FFD400,Gal
N-glycan_a-L-Fucp_71,N71,Fuc,a,L,p,N8,2,triangle,#ED1C24,Fuc
N-glycan_a-D-Neup5Gc_56,N56,Neu5Gc,a,D,p,N3,3,diamond,#8FCCE9,Neu5Gc
N-glycan_b-D-Galp_63,N63,Gal,b,D,p,N62,4,circle,#FFD400,Gal
N-glycan_a-D-Manp_21,N21,Man,a,D,p,N1,2,circle,#00A651,Man
N-glycan_b-D-Galp_85,N85,Gal,b,D,p,N84,4,circle,#FFD400,Gal
N-glycan_b-D-GlcpNAc_110,N110,GlcNAc,b,D,p,N68,3,square,#0090BC,GlcNAc
N-glycan_a-D-Manp_19,N19,Man,a,D,p,N4,3,circle,#00A651,Man
N-glycan_a-D-Neup5Ac_106,N106,Neu5Ac,a,D,p,N80,3,diamond,#A54399,Neu5Ac
N-glycan_a-D-Galp_52,N52,Gal,a,D,p,N3,3,circle,#FFD400,Gal
N-glycan_a-D-Neup5Ac_17,N17,Neu5Ac,a,D,p,N3,3,diamond,#A54399,Neu5Ac
N-glycan_a-D-Glcp_26,N26,Glc,a,D,p,N25,3,circle,#0090BC,Glc
N-glycan_a-D-Glcp_27,N27,Glc,a,D,p,N26,2,circle,#0090BC,Glc
N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,square,#0090BC,GlcNAc
N-glycan_a-L-Fucp_18,N18,Fuc,a,L,p,N7,3,triangle,#ED1C24,Fuc
N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,circle,#00A651,Man
N-glycan_a-D-Neup5Ac_33,N33,Neu5Ac,a,D,p,N28,3,diamond,#A54399,Neu5Ac
N-glycan_b-D-GlcpNAc_76,N76,GlcNAc,b,D,p,N63,3,square,#0090BC,GlcNAc
N-glycan_b-D-GlcpNAc_31,N31,GlcNAc,b,D,p,N4,4,square,#0090BC,GlcNAc
N-glycan_b-D-Galp_32,N32,Gal,b,D,p,N31,4,circle,#FFD400,Gal
N-glycan_a-D-Neup5Gc_135,N135,Neu5Gc,a,D,p,N44,3,diamond,#8FCCE9,Neu5Gc
N-glycan_a-D-Glcp_25,N25,Glc,a,D,p,N22,3,circle,#0090BC,Glc
N-glycan_b-D-GlcpNAc_150,N150,GlcNAc,b,D,p,N10,2,square,#0090BC,GlcNAc
N-glycan_a-D-KDN_141,N141,KDN,a,D,,N86,3,diamond,#00A651,Kdn
N-glycan_b-D-GlcpNAc_62,N62,GlcNAc,b,D,p,N3,3,square,#0090BC,GlcNAc
N-glycan_a-L-Fucp_98,N98,Fuc,a,L,p,N62,3,triangle,#ED1C24,Fuc
N-glycan_b-D-Galp_45,N45,Gal,b,D,p,N6,3,circle,#FFD400,Gal
N-glycan_b-D-GlcpNAc_9,N9,GlcNAc,b,D,p,N4,6,square,#0090BC,GlcNAc
N-glycan_a-D-Neup5Gc_130,N130,Neu5Gc,a,D,p,N8,3,diamond,#8FCCE9,Neu5Gc
N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,circle,#00A651,Man
N-glycan_b-D-Galp_60,N60,Gal,b,D,p,N59,4,circle,#FFD400,Gal
N-glycan_a-D-Neup5Ac_16,N16,Neu5Ac,a,D,p,N6,3,diamond,#A54399,Neu5Ac
N-glycan_a-D-Neup5Ac_105,N105,Neu5Ac,a,D,p,N78,3,diamond,#A54399,Neu5Ac
N-glycan_a-D-Galp_115,N115,Gal,a,D,p,N86,3,circle,#FFD400,Gal
N-glycan_a-L-Fucp_54,N54,Fuc,a,L,p,N6,2,triangle,#ED1C24,Fuc
N-glycan_a-D-Galp_50,N50,Gal,a,D,p,N6,3,circle,#FFD400,Gal
N-glycan_a-D-Neup5Gc_137,N137,Neu5Gc,a,D,p,N37,3,diamond,#8FCCE9,Neu5Gc
N-glycan_a-D-KDN_139,N139,KDN,a,D,,N8,3,diamond,#00A651,Kdn
N-glycan_b-D-GlcpNAc_36,N36,GlcNAc,b,D,p,N10,3,square,#0090BC,GlcNAc
N-glycan_a-D-KDN_122,N122,KDN,a,D,,N6,3,diamond,#00A651,Kdn
N-glycan_a-D-KDN_138,N138,KDN,a,D,,N37,3,diamond,#00A651,Kdn
N-glycan_b-D-Galp_77,N77,Gal,b,D,p,N76,4,circle,#FFD400,Gal
N-glycan_a-D-Neup5Gc_49,N49,Neu5Gc,a,D,p,N6,6,diamond,#8FCCE9,Neu5Gc
N-glycan_a-D-Neup5Gc_47,N47,Neu5Gc,a,D,p,N3,6,diamond,#8FCCE9,Neu5Gc
N-glycan_a-D-Neup5Gc_123,N123,Neu5Gc,a,D,p,N74,6,diamond,#8FCCE9,Neu5Gc
N-glycan_a-D-Manp_20,N20,Man,a,D,p,N4,6,circle,#00A651,Man
N-glycan_a-L-Fucp_99,N99,Fuc,a,L,p,N59,3,triangle,#ED1C24,Fuc
N-glycan_a-D-KDN_147,N147,KDN,a,D,,N30,6,diamond,#00A651,Kdn
N-glycan_b-D-Galp_28,N28,Gal,b,D,p,N7,3,circle,#FFD400,Gal
N-glycan_b-D-Galp_86,N86,Gal,b,D,p,N5,3,circle,#FFD400,Gal
N-glycan_a-D-Neup5Gc_146,N146,Neu5Gc,a,D,p,N30,6,diamond,#8FCCE9,Neu5Gc
N-glycan_a-D-GalpNAc_97,N97,GalNAc,a,D,p,N3,3,square,#FFD400,GalNAc
N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,square,#0090BC,GlcNAc
N-glycan_a-D-KDN_129,N129,KDN,a,D,,N29,6,diamond,#00A651,Kdn
N-glycan_a-L-Fucp_103,N103,Fuc,a,L,p,N86,2,triangle,#ED1C24,Fuc
N-glycan_a-D-KDN_143,N143,KDN,a,D,,N63,6,diamond,#00A651,Kdn
N-glycan_a-L-Fucp_43,N43,Fuc,a,L,p,N9,3,triangle,#ED1C24,Fuc
N-glycan_a-D-Neup5Ac_12,N12,Neu5Ac,a,D,p,N3,6,diamond,#A54399,Neu5Ac
N-glycan_a-D-GalpNAc_117,N117,GalNAc,a,D,p,N86,3,square,#FFD400,GalNAc
N-glycan_a-D-KDN_134,N134,KDN,a,D,,N6,6,diamond,#00A651,Kdn
N-glycan_a-L-Fucp_40,N40,Fuc,a,L,p,NA,3,triangle,#ED1C24,Fuc
N-glycan_b-D-Galp_8,N8,Gal,b,D,p,N7,4,circle,#FFD400,Gal
N-glycan_a-D-Neu5Acp_E1,NE1,Neu5Ac,a,D,p,N2,6,diamond,#A54399,Neu5Ac
N-glycan_a-D-Manp_E2,NE2,Man,a,D,p,N1,6,circle,#00A651,Man
N-glycan_b-D-Glcp_E3,NE3,Glc,b,D,p,N22,3,circle,#0090BC,Glc
N-glycan_b-D-Xylp_E4,NE4,Xyl,b,D,p,NC,2,star,#F47920,Xyl
N-glycan_a-D-Manp_E5,NE5,Man,a,D,p,N22,2,circle,#00A651,Man
N-glycan_a-D-Neu5Acp_E6,NE6,Neu5Ac,a,D,p,N32,6,diamond,#A54399,Neu5Ac
N-glycan_a-D-Manp_E7,NE7,Man,a,D,p,N22,6,circle,#00A651,Man
N-glycan_a-D-Galp_E8,NE8,Gal,a,D,p,N2,4,circle,#FFD400,Gal
N-glycan_b-D-GlcNAcp_E9,NE9,GlcNAc,b,D,p,N2,4,square,#0090BC,GlcNAc
N-glycan_a-D-Neu5Acp_E10,NE10,Neu5Ac,a,D,p,N7,6,diamond,#A54399,Neu5Ac
N-glycan_a-D-Neu5Acp_E11,NE11,Neu5Ac,a,D,p,N2,3,diamond,#A54399,Neu5Ac
N-glycan_b-D-GlcNAcp_E12,NE12,GlcNAc,b,D,p,N5,4,square,#0090BC,GlcNAc
N-glycan_a-D-Neu5Acp_E13,NE13,Neu5Ac,a,D,p,N8,2,diamond,#A54399,Neu5Ac
N-glycan_a-D-Galp_E14,NE14,Gal,a,D,p,N8,4,circle,#FFD400,Gal
N-glycan_b-D-Galf_E15,NE15,Gal,b,D,f,N4,2,circle,#FFD400,Gal
N-glycan_b-D-Manp_E16,NE16,Man,b,D,p,NC,3,circle,#00A651,Man
N-glycan_a-D-Neu5Acp_E17,NE17,Neu5Ac,a,D,p,NE8,6,diamond,#A54399,Neu5Ac
N-glycan_b-D-Galp_E18,NE18,Gal,b,D,p,N3,3,circle,#FFD400,Gal
N-glycan_a-L-Fucp_E19,NE19,Fuc,a,L,p,N10,2,triangle,#ED1C24,Fuc
N-glycan_a-L-Fucp_E20,NE20,Fuc,a,L,p,N75,3,triangle,#ED1C24,Fuc
N-glycan_a-L-Fucp_E21,NE21,Fuc,a,L,p,N6,6,triangle,#ED1C24,Fuc
N-glycan_b-D-Manp_E22,NE22,Man,b,D,p,N21,2,circle,#00A651,Man
N-glycan_a-D-Manp_E23,NE23,Man,a,D,p,NE2,2,circle,#00A651,Man
N-glycan_a-D-Neu5Acp_E24,NE24,Neu5Ac,a,D,p,N29,3,diamond,#A54399,Neu5Ac
N-glycan_a-D-Neu5Acp_E25,NE25,Neu5Ac,a,D,p,N86,6,diamond,#A54399,Neu5Ac
N-glycan_a-D-Manp_E26,NE26,Man,a,D,p,N1,3,circle,#00A651,Man
N-glycan_a-D-Manp_E27,NE27,Man,a,D,p,N4,2,circle,#00A651,Man
N-glycan_a-D-Manp_E28,NE28,Man,a,D,p,N20,6,circle,#00A651,Man
N-glycan_b-D-Galp_E29,NE29,Gal,b,D,p,N31,3,circle,#FFD400,Gal
N-glycan_b-L-Fucp_E30,NE30,Fuc,b,L,p,NA,6,triangle,#ED1C24,Fuc
N-glycan_a-D-Manp_E31,NE31,Man,a,D,p,N23,2,circle,#00A651,Man
N-glycan_a-D-Glcp_E32,NE32,Glc,a,D,p,N22,2,circle,#0090BC,Glc
N-glycan_a-D-Manp_E33,NE33,Man,a,D,p,N23,3,circle,#00A651,Man
N-glycan_a-D-Manp_E34,NE34,Man,a,D,p,N22,3,circle,#00A651,Man
